PWS ID,PWS Name,County,Population Served,Fluoridated,Fluoride Conc.
CO-0121240,Falcon Heights,El Paso,243,Yes,2.14
CO-0121245,Ellicott Springs,El Paso,220,No,0.46
CO-0121247,FALCON HIGHLANDS METRO DISTRICT,El Paso,850,Yes,0.98
CO-0121250,Forest View Acres WD,El Paso,625,Yes,1.32
CO-0121275,Fountain-City of,El Paso,20342,No,0.39
CO-0121300,Fountain Valley Authority,El Paso,11,No,0.39
CO-0121325,Garden Valley W&ampSD,El Paso,729,Yes,2.19
CO-0121345,Grand View MHP,El Paso,202,Yes,0.62
CO-0121350,Grandview MHP,El Paso,73,Yes,0.61
CO-0121360,Forest Lakes MD,El Paso,238,Yes,0.87
CO-0121410,SILVER BONNETT PARK,El Paso,36,Yes,0.89
CO-0121415,Keeton Ranch Water,El Paso,57,No,1.68
CO-0121450,Manitou Springs-City of,El Paso,5616,Yes,2.8
CO-0121465,Mid Colorado Investment (El Paso),El Paso,0,No,0.54
CO-0121470,Wigwam Mutual Water Company,El Paso,1052,Yes,2.4
CO-0121475,Monument-Town of,El Paso,3972,Yes,1.38
CO-0121525,Overlook Mutual WC,El Paso,40,Yes,3.3
CO-0121550,Palmer Lake MHP,El Paso,202,Yes,1.03
CO-0121575,Palmer Lake-Town of,El Paso,1983,Yes,0.89
CO-0121600,Park Forest WD,El Paso,753,Yes,0.92
CO-0121610,Peyton Pines,El Paso,45,No,0.2
CO-0121625,Pioneer Lookout WD,El Paso,81,Yes,0.83
CO-0121650,Prairie Estates MHP,El Paso,150,No,0.48
CO-0121675,Ramah-Town of,El Paso,108,Yes,0.62
CO-0121700,Red Rock Valley WD,El Paso,162,No,1.68
CO-0121724,Falcon Area Water and Wastewater,El Paso,189,Yes,1.07
CO-0121725,Rock Creek Mesa WD,El Paso,182,Yes,1.7
CO-0121745,Sage Water Users,El Paso,648,No,0.54
CO-0121750,Security MHV,El Paso,121,Yes,1.16
CO-0121775,Security W&ampSD,El Paso,16190,No,0.39
CO-0121800,Stratmoor Hills WD,El Paso,5262,No,0.39
CO-0121840,TRIVIEW METROPOLITAN DISTRICT,El Paso,4573,Yes,1.03
CO-0121841,Turkey Canon Ranch WD,El Paso,73,Yes,2.08
CO-0121845,US Air Force Academy,El Paso,13661,No,0.39
CO-0121850,Walden W&ampSD,El Paso,1214,Yes,0.34
CO-0121900,Widefield Water & San District,El Paso,18144,No,0.39
CO-0121930,Woodmen Hills Metropolitan District,El Paso,6860,Yes,0.92
CO-0121950,Woodmoor W&ampSD,El Paso,14323,No,1.01
CO-0122050,"Brookside, Town of",Fremont,355,Yes,0.7
CO-0122100,"Canon City, City of",Fremont,28170,Yes,0.7
CO-0122250,"Coal Creek, Town of",Fremont,283,No,0.44
CO-0122450,East Florence Water Association,Fremont,264,No,0.44
CO-0122500,Florence-City of,Fremont,6067,No,0.44
CO-0122580,"Orchard Park Water Assn, Inc.",Fremont,63,Yes,0.7
CO-0122600,Park Center WD,Fremont,3238,Yes,1.2
CO-0122700,Penrose WD,Fremont,2549,Yes,1.26
CO-0122800,"Rockvale, Town of",Fremont,408,No,0.44
CO-0122950,"Williamsburg, Town of",Fremont,627,No,0.44
CO-0123010,MINEOTA ESTATES,Garfield,85,Yes,0.41
CO-0123123,Asgard Water Assoc.,Garfield,65,Yes,0.46
CO-0123125,Aspen Glen W&ampSD,Garfield,1548,No,0.18
CO-0123133,Battlement Mesa Incorporated,Garfield,3319,No,0.2
CO-0123152,Aspen Equestrian,Garfield,170,No,0.1
CO-0123155,Canyon Creek Estates,Garfield,113,No,0.17
CO-0123166,Cattle Creek WUA,Garfield,38,No,0.2
CO-0123167,Carbondale-Town of,Garfield,5424,No,0.18
CO-0123170,Colorado Mountain College,Garfield,579,No,0.16
CO-0123185,Cottonwood Springs MHP,Garfield,607,No,0.1
CO-0123188,Crystal Valley MHP,Garfield,81,No,0.2
CO-0123248,El Rocko MHP,Garfield,65,No,0.24
CO-0123295,Fox Run Meadows HOA,Eagle,29,No,0.45
CO-0123314,Glenwood Springs-City of,Garfield,7632,Yes,0.7
CO-0123333,H Lazy F MHP,Garfield,243,No,0.1
CO-0123343,Teller Springs Homeowners Assn,Garfield,68,No,0.3
CO-0123345,Hawkridge HOA,Garfield,34,No,1.13
CO-0123360,Lazy Diamond A Subdivision,Garfield,20,No,0.16
CO-0123443,King's Row,Garfield,81,No,0.5
CO-0123470,Lions Ridge Estates,Garfield,51,No,0.21
CO-0123485,Red Canyon WD,Garfield,151,No,0.22
CO-0123500,Sun Meadow Estates,Garfield,40,Yes,0.87
CO-0123510,Mitchell-Cooper Ditch/Pipeline,Garfield,971,No,0.1
CO-0123518,Mountain Meadows,Garfield,93,No,0.32
CO-0123519,Mountain Valley MHP,Garfield,274,No,0.1
CO-0123538,New Castle-Town of,Garfield,4067,No,0.21
CO-0123552,No Name Creek Water System,Garfield,130,No,0.1
CO-0123566,Oak Meadows Sub I-III & IV,Garfield,146,No,0.19
CO-0123567,Oak Meadows Sub. II,Garfield,40,No,0.12
CO-0123595,Panarama Ranches HOA,Garfield,97,No,0.42
CO-0123601,Panoramic Mesa Subd.,Garfield,36,Yes,0.71
CO-0123602,Parachute-Town of,Garfield,1069,No,0.38
CO-0123605,PEACH VALLEY ORCHARD SUBDIVISION,Garfield,22,Yes,0.83
CO-0123617,Callicotte Ranch,Garfield,27,No,0.44
CO-0123667,Ranch at Roaring Fork,Garfield,243,No,0.23
CO-0123670,Riverview Subdivision,Garfield,45,No,0.35
CO-0123675,Rifle Creek Estates,Garfield,73,No,0.55
CO-0123676,"RIFLE, CITY OF",Garfield,7681,No,0.33
CO-0123677,Rifle Correctional Center,Garfield,232,No,0.53
CO-0123679,Riverbend Subd.,Garfield,126,Yes,0.55
CO-0123710,Silt-Town of,Garfield,1943,No,0.3
CO-0123718,Springridge Subdivision,Garfield,89,No,0.18
CO-0123725,Sunlight View Subd.,Garfield,189,No,0.29
CO-0123726,Satank Water Association,Garfield,65,No,0.18
CO-0123734,Talbott Enterprises,Garfield,939,No,0.4
CO-0123742,Three Mile Trailer Ct.,Garfield,40,No,0.4
CO-0123836,WESTBANK MESA HOME OWNERS ASSO,Garfield,75,No,0.2
CO-0123838,Westbank Ranch HOA,Garfield,324,No,0.29
CO-0123860,Wooden Deer Subd.,Garfield,31,No,0.52
CO-0124147,Blackhawk-City of,Gilpin,12277,No,0.33
CO-0124171,Central City-City of,Gilpin,3036,No,0.1
CO-0125148,Blue Valley MD,Grand,332,No,0.47
CO-0125155,Columbine Lake W&ampSD,Grand,346,No,0.35
CO-0125246,Olympic Village,Grand,61,No,0.32
CO-0125288,Fraser-Town of,Grand,1740,No,0.11
CO-0125320,Granby Jones MHP,Grand,163,No,0.39
CO-0125321,Granby-Town of,Grand,1396,Yes,0.7
CO-0125322,Grand Lake-Town of,Grand,1647,No,0.24
CO-0125323,Grand County W&ampS Dist. No. l,Grand,4371,No,0.35
CO-0125352,Hot Sulphur Springs-Town of,Grand,556,No,0.17
CO-0125455,Kremmling-Town of,Grand,1498,No,0.1
CO-0125466,Lake Forest Mutual Water Co.,Grand,202,No,0.29
CO-0125518,Moraine Park Water System,Grand,81,No,0.33
CO-0125552,North Shore W&ampSD,Grand,306,No,0.29
CO-0125674,Granby Town of West Service Area,Grand,0,No,0.14
CO-0125710,Granby Silver Creek Water & San Dist.,Grand,1862,Yes,1.04
CO-0125720,TABERNASH MEADOWS WSD,Grand,370,No,0.24
CO-0125843,Winter Park W&ampS Dist.,Grand,5371,No,0.13
CO-0125844,Winter Park West W&ampSD,Grand,2631,No,0.1
CO-0125916,YMCA - Snow Mountain Ranch,Grand,468,No,0
CO-0126117,Antelope Hills Homeowners Assn,Gunnison,215,Yes,2.2
CO-0126121,Arrowhead Ranch WC,Gunnison,349,Yes,0
CO-0126158,Buckhorn Ranch WS,Gunnison,113,No,0
CO-0126175,Chair Mountain Ranch Subd.,Gunnison,30,No,0.21
CO-0126185,Country Meadows Mobile Estates,Gunnison,91,No,0.18
CO-0126188,Crested Butte-Town of,Gunnison,1975,No,0.31
CO-0126189,Crested Butte South MD,Gunnison,1619,No,0.13
CO-0126190,Mt Crested Butte W&ampSD,Gunnison,2668,No,0.1
CO-0126220,Gunnison County W&ampSD,Gunnison,607,No,0.11
CO-0126325,Gunnison-City of,Gunnison,7779,No,0.2
CO-0126466,Larkspur Subd,Gunnison,45,No,0
CO-0126505,Crested Butte W&ampSD,Gunnison,202,No,0.1
CO-0126580,North Valley Utility Co.,Gunnison,64,No,0.37
CO-0126618,Ponderosa MHP,Gunnison,81,No,0.16
CO-0126677,RIVERLAND LOT OWNERS ASSOCIATION,Gunnison,298,No,0
CO-0126715,"Somerset, Town of",Gunnison,81,Yes,1.1
CO-0127467,Lake City W&ampSD,Hinsdale,475,No,0
CO-0128100,Cuchara W&ampSD,Huerfano,243,No,0.2
CO-0128300,Gardner-Town of (W&ampSD),Huerfano,324,Yes,0.62
CO-0128400,Huajatolla Valley L&ampC WC,Huerfano,107,Yes,0.4
CO-0128500,La Veta-Town of,Huerfano,688,No,0.27
CO-0128600,Navajo Western WD,Huerfano,276,Yes,0.57
CO-0128625,NAVAJO WESTERN WATER DISTRICT ESTATES,Huerfano,117,Yes,0.64
CO-0128650,PINON HILLS SUBDIVISION,Huerfano,36,Yes,2.65
CO-0128800,Spanish Peaks Village Tract II WA,Huerfano,112,No,0.54
CO-0128900,Walsenburg-City of,Huerfano,2615,Yes,0.7
CO-0129233,Eagles Watch WC,Jackson,67,No,0.23
CO-0129834,Walden-Town of,Jackson,473,Yes,0.7
CO-0130001,"Arvada, City of",Jefferson,118786,Yes,0.7
CO-0130005,Blue Mountain WD,Jefferson,283,No,0.51
CO-0130010,Brook Forest Water Dist.,Jefferson,808,Yes,1.08
CO-0130015,Buffalo Creek WD,Jefferson,101,Yes,0.98
CO-0130020,Consolidated Mutual/Maple Grove,Jefferson,19537,Yes,0.7
